МАРКА,МОДЕЛЬ,ГОД,КОЛИЧЕСТВО
Alfa Romeo,alfaromeo-giulietta,2019,291821
Alfa Romeo,alfaromeo-giulietta,2020,233224
Alfa Romeo,alfaromeo-giulietta,2021,137912
Alfa Romeo,alfaromeo-giulietta,2022,68201
Alfa Romeo,alfaromeo-giulietta,2023,19806
Alfa Romeo,alfaromeo-giulietta,2024,2230
Alfa Romeo,alfaromeo-gt,2000,480113
Alfa Romeo,alfaromeo-gt,2001,458986
Alfa Romeo,alfaromeo-gt,2002,510066
Alfa Romeo,alfaromeo-gt,2003,640076
Alfa Romeo,alfaromeo-gt,2004,653128
Alfa Romeo,alfaromeo-gt,2005,665094
Alfa Romeo,alfaromeo-gt,2006,669602
Alfa Romeo,alfaromeo-gt,2007,725525
Alfa Romeo,alfaromeo-gt,2008,706535
Alfa Romeo,alfaromeo-gt,2009,481056
Alfa Romeo,alfaromeo-gt,2010,511092
Alfa Romeo,alfaromeo-gt,2011,465939
Alfa Romeo,alfaromeo-gt,2012,472529
Alfa Romeo,alfaromeo-gt,2013,400834
Alfa Romeo,alfaromeo-gt,2014,386714
Alfa Romeo,alfaromeo-gt,2015,402579
Alfa Romeo,alfaromeo-gt,2016,371803
Alfa Romeo,alfaromeo-gt,2017,385451
Alfa Romeo,alfaromeo-gt,2018,410133
Alfa Romeo,alfaromeo-gt,2019,291821
Alfa Romeo,alfaromeo-gt,2020,233224
Alfa Romeo,alfaromeo-gt,2021,137912
Alfa Romeo,alfaromeo-gt,2022,68201
Alfa Romeo,alfaromeo-gt,2023,19806
Alfa Romeo,alfaromeo-gt,2024,2230
Alfa Romeo,alfaromeo-gtv,2000,480113
Alfa Romeo,alfaromeo-gtv,2001,458986
Alfa Romeo,alfaromeo-gtv,2002,510066
Alfa Romeo,alfaromeo-gtv,2003,640076
Alfa Romeo,alfaromeo-gtv,2004,653128
Alfa Romeo,alfaromeo-gtv,2005,665094
Alfa Romeo,alfaromeo-gtv,2006,669602
Alfa Romeo,alfaromeo-gtv,2007,725525
Alfa Romeo,alfaromeo-gtv,2008,706535
Alfa Romeo,alfaromeo-gtv,2009,481056
Alfa Romeo,alfaromeo-gtv,2010,511092
Alfa Romeo,alfaromeo-gtv,2011,465939
Alfa Romeo,alfaromeo-gtv,2012,472529
Alfa Romeo,alfaromeo-gtv,2013,400834
Alfa Romeo,alfaromeo-gtv,2014,386717
Alfa Romeo,alfaromeo-gtv,2015,402550
Alfa Romeo,alfaromeo-gtv,2016,371812
Alfa Romeo,alfaromeo-gtv,2017,385475
Alfa Romeo,alfaromeo-gtv,2018,410147
Alfa Romeo,alfaromeo-gtv,2019,291811
Alfa Romeo,alfaromeo-gtv,2020,233219
Alfa Romeo,alfaromeo-gtv,2021,137922
Alfa Romeo,alfaromeo-gtv,2022,68201
Alfa Romeo,alfaromeo-gtv,2023,19806
Alfa Romeo,alfaromeo-gtv,2024,2310
Alfa Romeo,alfaromeo-mito,2000,480217
Alfa Romeo,alfaromeo-mito,2001,459648
Alfa Romeo,alfaromeo-mito,2002,510515
Alfa Romeo,alfaromeo-mito,2003,640183
Alfa Romeo,alfaromeo-mito,2004,653228
Alfa Romeo,alfaromeo-mito,2005,665416
Alfa Romeo,alfaromeo-mito,2006,669595
Alfa Romeo,alfaromeo-mito,2007,725358
Alfa Romeo,alfaromeo-mito,2008,706615
Alfa Romeo,alfaromeo-mito,2009,480948
Alfa Romeo,alfaromeo-spider,2005,665416
Alfa Romeo,alfaromeo-spider,2006,669595
Alfa Romeo,alfaromeo-spider,2007,725358
Alfa Romeo,alfaromeo-spider,2008,706615
Alfa Romeo,alfaromeo-spider,2009,480948
Alfa Romeo,alfaromeo-spider,2010,511241
Alfa Romeo,alfaromeo-spider,2011,466025
Alfa Romeo,alfaromeo-spider,2012,472641
Alfa Romeo,alfaromeo-spider,2013,401082
Alfa Romeo,alfaromeo-spider,2014,386717
Alfa Romeo,alfaromeo-spider,2015,402550
Alfa Romeo,alfaromeo-spider,2016,371812
Alfa Romeo,alfaromeo-spider,2017,385475
Alfa Romeo,alfaromeo-spider,2018,410147
Alfa Romeo,alfaromeo-spider,2019,291811
Alfa Romeo,alfaromeo-spider,2020,233219
Alfa Romeo,alfaromeo-spider,2021,137922
Alfa Romeo,alfaromeo-spider,2022,68201
Alfa Romeo,alfaromeo-spider,2023,19806
Alfa Romeo,alfaromeo-spider,2024,2310
Alfa Romeo,alfaromeo-stelvio,2000,480217
Alfa Romeo,alfaromeo-stelvio,2001,459648
Alfa Romeo,alfaromeo-stelvio,2002,510515
Alfa Romeo,alfaromeo-stelvio,2003,640183
Alfa Romeo,alfaromeo-stelvio,2004,653228
Alfa Romeo,alfaromeo-stelvio,2005,665416
Alfa Romeo,alfaromeo-stelvio,2006,669595
Alfa Romeo,alfaromeo-stelvio,2007,725358
Alfa Romeo,alfaromeo-stelvio,2008,706615
Alfa Romeo,alfaromeo-stelvio,2009,480948
Alfa Romeo,alfaromeo-stelvio,2010,511241
Alfa Romeo,alfaromeo-stelvio,2011,466025
Alfa Romeo,alfaromeo-stelvio,2012,472641
Alfa Romeo,alfaromeo-stelvio,2013,401082
Alfa Romeo,alfaromeo-stelvio,2014,386717
Alfa Romeo,alfaromeo-stelvio,2015,402550
Alfa Romeo,alfaromeo-stelvio,2016,371812
Alfa Romeo,alfaromeo-stelvio,2017,385475
Alfa Romeo,alfaromeo-stelvio,2018,410147
Alfa Romeo,alfaromeo-stelvio,2019,291811
Alfa Romeo,alfaromeo-stelvio,2020,233219
Alfa Romeo,alfaromeo-stelvio,2021,137922
Alfa Romeo,alfaromeo-stelvio,2022,68201
Alfa Romeo,alfaromeo-stelvio,2023,19806
Alfa Romeo,alfaromeo-stelvio,2024,2310
Asia,asia-roksta,2000,0
Asia,asia-roksta,2001,0
Asia,asia-roksta,2002,0
Asia,asia-roksta,2003,0
Asia,asia-roksta,2004,0
Asia,asia-roksta,2005,0
Asia,asia-roksta,2006,0
Asia,asia-roksta,2007,0
Asia,asia-roksta,2008,0
Asia,asia-roksta,2009,0
Asia,asia-roksta,2010,0
Asia,asia-roksta,2011,0
Asia,asia-roksta,2012,0
Asia,asia-roksta,2013,0
Asia,asia-roksta,2014,0
Asia,asia-roksta,2015,0
Asia,asia-roksta,2016,0
Asia,asia-roksta,2017,0
Asia,asia-roksta,2018,0
Asia,asia-roksta,2019,0
Asia,asia-roksta,2020,0
Asia,asia-roksta,2021,0
Asia,asia-roksta,2022,0
Asia,asia-roksta,2023,0
Asia,asia-roksta,2024,0
Aston Martin,astonmartin-db11,2000,480217
Aston Martin,astonmartin-db11,2001,459648
Aston Martin,astonmartin-db11,2002,510515
Aston Martin,astonmartin-db11,2003,640183
Aston Martin,astonmartin-db11,2004,653228
Aston Martin,astonmartin-db11,2005,665416
Aston Martin,astonmartin-db11,2006,669595
Aston Martin,astonmartin-db11,2007,725358
Aston Martin,astonmartin-db11,2008,706615
Aston Martin,astonmartin-db11,2009,480948
Aston Martin,astonmartin-db11,2010,511241
Aston Martin,astonmartin-db11,2011,466025
Aston Martin,astonmartin-db11,2012,472641
Aston Martin,astonmartin-db11,2013,401082
Aston Martin,astonmartin-db11,2014,386717
Aston Martin,astonmartin-db11,2015,402550
Aston Martin,astonmartin-db11,2016,371812
Aston Martin,astonmartin-db11,2017,385475
Aston Martin,astonmartin-db11,2018,410147
Aston Martin,astonmartin-db11,2019,291811
Aston Martin,astonmartin-db11,2020,233219
Aston Martin,astonmartin-db11,2021,137922
Aston Martin,astonmartin-db11,2022,68201
Aston Martin,astonmartin-db11,2023,19806
Aston Martin,astonmartin-db11,2024,2310
Aston Martin,astonmartin-vantage,2000,480217
Aston Martin,astonmartin-vantage,2001,459648
Aston Martin,astonmartin-vantage,2002,510515
Aston Martin,astonmartin-vantage,2003,640183
Aston Martin,astonmartin-vantage,2004,653228
Aston Martin,astonmartin-vantage,2005,665416
Aston Martin,astonmartin-vantage,2006,669595
Aston Martin,astonmartin-vantage,2007,725358
Aston Martin,astonmartin-vantage,2008,706615
Aston Martin,astonmartin-vantage,2009,480948
Aston Martin,astonmartin-vantage,2010,511241
Aston Martin,astonmartin-vantage,2011,466025
Aston Martin,astonmartin-vantage,2012,472641
Aston Martin,astonmartin-vantage,2013,401082
Aston Martin,astonmartin-vantage,2014,386717
Aston Martin,astonmartin-vantage,2015,402550
Aston Martin,astonmartin-vantage,2016,371812
Aston Martin,astonmartin-vantage,2017,385475
Aston Martin,astonmartin-vantage,2018,410147
Aston Martin,astonmartin-vantage,2019,291811
Aston Martin,astonmartin-vantage,2020,233219
Aston Martin,astonmartin-vantage,2021,137922
Aston Martin,astonmartin-vantage,2022,68201
Aston Martin,astonmartin-vantage,2023,19806
Aston Martin,astonmartin-vantage,2024,2310
Audi,audi-100,2000,45753
Audi,audi-100,2001,31463
Audi,audi-100,2002,36068
Audi,audi-100,2003,48728
Audi,audi-100,2004,50706
Audi,audi-100,2005,42354
Audi,audi-100,2006,57979
Audi,audi-100,2007,75130
Audi,audi-100,2008,61536
Audi,audi-100,2009,35625
Audi,audi-100,2010,37929
Audi,audi-100,2011,43983
Audi,audi-100,2012,52261
Audi,audi-100,2013,33857
Audi,audi-100,2014,29921
Audi,audi-100,2015,25205
Audi,audi-100,2016,32721
Audi,audi-100,2017,21870
Audi,audi-100,2018,28932
Audi,audi-100,2019,21066
Audi,audi-100,2020,10028
Audi,audi-100,2021,5488
Audi,audi-100,2022,5299
Audi,audi-100,2023,841
Audi,audi-100,2024,76
Audi,audi-200,2000,45753
Audi,audi-200,2001,31463
Audi,audi-200,2002,36068
Audi,audi-200,2003,48728
Audi,audi-200,2004,50706
Audi,audi-200,2005,42354
Audi,audi-200,2006,57979
Audi,audi-200,2007,75130
Audi,audi-200,2008,61536
Audi,audi-200,2009,35625
Audi,audi-200,2010,37929
Audi,audi-200,2011,43983
Audi,audi-200,2012,52261
Audi,audi-200,2013,33857
Audi,audi-200,2014,29921
Audi,audi-200,2015,25205
Audi,audi-200,2016,32721
Audi,audi-200,2017,21870
Audi,audi-200,2018,28932
Audi,audi-200,2019,21066
Audi,audi-200,2020,10028
Audi,audi-200,2021,5488
Audi,audi-200,2022,5299
Audi,audi-200,2023,841
Audi,audi-200,2024,76
Audi,audi-80,2000,45753
Audi,audi-80,2001,31463
Audi,audi-80,2002,36068
Audi,audi-80,2003,48728
Audi,audi-80,2004,50706
Audi,audi-80,2005,42354
Audi,audi-80,2006,57979
Audi,audi-80,2007,75130
Audi,audi-80,2008,61536
Audi,audi-80,2009,35625
Audi,audi-80,2010,37929
Audi,audi-80,2011,43983
Audi,audi-80,2012,52261
Audi,audi-80,2013,33857
Audi,audi-80,2014,29921
Audi,audi-80,2015,25205
Audi,audi-80,2016,32721
Audi,audi-80,2017,21870
Audi,audi-80,2018,28932
Audi,audi-80,2019,21066
Audi,audi-80,2020,10028
Audi,audi-80,2021,5488
Audi,audi-80,2022,5299
Audi,audi-80,2023,841
Audi,audi-80,2024,76
Audi,audi-90,2000,45753
Audi,audi-90,2001,31463
Audi,audi-90,2002,36068
Audi,audi-90,2003,48728
Audi,audi-90,2004,50706
Audi,audi-90,2005,42354
Audi,audi-90,2006,57979
Audi,audi-90,2007,75130
Audi,audi-90,2008,61536
Audi,audi-90,2009,35625
Audi,audi-90,2010,37929
Audi,audi-90,2011,43983
Audi,audi-90,2012,52261
Audi,audi-90,2013,33857
Audi,audi-90,2014,29921
Audi,audi-90,2015,25205
Audi,audi-90,2016,32721
Audi,audi-90,2017,21870
Audi,audi-90,2018,28932
Audi,audi-90,2019,21066
Audi,audi-90,2020,10028
Audi,audi-90,2021,5488
Audi,audi-90,2022,5299
Audi,audi-90,2023,841
Audi,audi-90,2024,76
Audi,audi-a1,2000,45753
Audi,audi-a1,2001,31463
Audi,audi-a1,2002,36068
Audi,audi-a1,2003,48728
Audi,audi-a1,2004,50706
Audi,audi-a1,2005,42354
Audi,audi-a1,2006,57979
Audi,audi-a1,2007,75130
Audi,audi-a1,2008,61536
Audi,audi-a1,2009,35625
Audi,audi-a1,2010,37929
Audi,audi-a1,2011,43983
Audi,audi-a1,2012,52261
Audi,audi-a1,2013,33857
Audi,audi-a1,2014,29921
Audi,audi-a1,2015,25205
Audi,audi-a1,2016,32721
Audi,audi-a1,2017,21870
Audi,audi-a1,2018,28932
Audi,audi-a1,2019,21066
Audi,audi-a1,2020,10028
Audi,audi-a1,2021,5488
Audi,audi-a1,2022,5299
Audi,audi-a1,2023,841
Audi,audi-a1,2024,76
Audi,audi-a2,2000,45753
Audi,audi-a2,2001,31463
Audi,audi-a2,2002,36068
Audi,audi-a2,2003,48728
Audi,audi-a2,2004,50706
Audi,audi-a2,2005,42354
Audi,audi-a2,2006,57979
Audi,audi-a2,2007,75130
Audi,audi-a2,2008,61536
Audi,audi-a2,2009,35625
Audi,audi-a2,2010,37929
Audi,audi-a2,2011,43983
Audi,audi-a2,2012,52261
Audi,audi-a2,2013,33857
Audi,audi-a2,2014,29921
Audi,audi-a2,2015,25205
Audi,audi-a2,2016,32721
Audi,audi-a2,2017,21870
Audi,audi-a2,2018,28932
Audi,audi-a2,2019,21066
Audi,audi-a2,2020,10028
Audi,audi-a2,2021,5488
Audi,audi-a2,2022,5299
Audi,audi-a2,2023,841
Audi,audi-a2,2024,76
Audi,audi-a3,2000,45753
Audi,audi-a3,2001,31463
Audi,audi-a3,2002,36068
Audi,audi-a3,2003,48728
Audi,audi-a3,2004,50706
Audi,audi-a3,2005,42354
Audi,audi-a3,2006,57979
Audi,audi-a3,2007,75130
Audi,audi-a3,2008,61536
Audi,audi-a3,2009,35625
Audi,audi-a3,2010,37929
Audi,audi-a3,2011,43983
Audi,audi-a3,2012,52261
Audi,audi-a3,2013,33857
Audi,audi-a3,2014,29921
Audi,audi-a3,2015,25205
Audi,audi-a3,2016,32721
Audi,audi-a3,2017,21870
Audi,audi-a3,2018,28932
Audi,audi-a3,2019,21066
Audi,audi-a3,2020,10028
Audi,audi-a3,2021,5488
Audi,audi-a3,2022,5299
Audi,audi-a3,2023,841
Audi,audi-a3,2024,76
Audi,audi-a4,2000,45753
Audi,audi-a4,2001,31463
Audi,audi-a4,2002,36068
Audi,audi-a4,2003,48728
Audi,audi-a4,2004,50706
Audi,audi-a4,2005,42354
Audi,audi-a4,2006,57979
Audi,audi-a4,2007,75130
Audi,audi-a4,2008,61536
Audi,audi-a4,2009,35625
Audi,audi-a4,2010,37929
Audi,audi-a4,2011,43983
Audi,audi-a4,2012,52261
Audi,audi-a4,2013,33857
Audi,audi-a4,2014,29921
Audi,audi-a4,2015,25205
Audi,audi-a4,2016,32721
Audi,audi-a4,2017,21870
Audi,audi-a4,2018,28932
Audi,audi-a4,2019,21066
Audi,audi-a4,2020,10028
Audi,audi-a4,2021,5488
Audi,audi-a4,2022,5299
Audi,audi-a4,2023,841
Audi,audi-a4,2024,76
Audi,audi-a4allroad,2000,45753
Audi,audi-a4allroad,2001,31463
Audi,audi-a4allroad,2002,36068
Audi,audi-a4allroad,2003,48728
Audi,audi-a4allroad,2004,50706
Audi,audi-a4allroad,2005,42354
Audi,audi-a4allroad,2006,57979
Audi,audi-a4allroad,2007,75130
Audi,audi-a4allroad,2008,61536
Audi,audi-a4allroad,2009,35625
Audi,audi-a4allroad,2010,37929
Audi,audi-a4allroad,2011,43983
Audi,audi-a4allroad,2012,52261
Audi,audi-a4allroad,2013,33857
Audi,audi-a4allroad,2014,29921
Audi,audi-a4allroad,2015,25205
Audi,audi-a4allroad,2016,32721
Audi,audi-a4allroad,2017,21870
Audi,audi-a4allroad,2018,28932
Audi,audi-a4allroad,2019,21066
Audi,audi-a4allroad,2020,10028
Audi,audi-a4allroad,2021,5488
Audi,audi-a4allroad,2022,5299
Audi,audi-a4allroad,2023,841
Audi,audi-a4allroad,2024,76
Audi,audi-a5,2000,45753
Audi,audi-a5,2001,31463
Audi,audi-a5,2002,36068
Audi,audi-a5,2003,48728
Audi,audi-a5,2004,50706
Audi,audi-a5,2005,42354
Audi,audi-a5,2006,57979
Audi,audi-a5,2007,75130
Audi,audi-a5,2008,61536
Audi,audi-a5,2009,35625
Audi,audi-a5,2010,37929
Audi,audi-a5,2011,43983
Audi,audi-a5,2012,52261
Audi,audi-a5,2013,33857
Audi,audi-a5,2014,29921
Audi,audi-a5,2015,25205
Audi,audi-a5,2016,32721
Audi,audi-a5,2017,21870
Audi,audi-a5,2018,28932
Audi,audi-a5,2019,21066
Audi,audi-a5,2020,10028
Audi,audi-a5,2021,5488
Audi,audi-a5,2022,5299
Audi,audi-a5,2023,841
Audi,audi-a5,2024,76
Audi,audi-a6,2000,45753
Audi,audi-a6,2001,31463
Audi,audi-a6,2002,36068
Audi,audi-a6,2003,48728
Audi,audi-a6,2004,50706
Audi,audi-a6,2005,42354
Audi,audi-a6,2006,57979
Audi,audi-a6,2007,75130
Audi,audi-a6,2008,61536
Audi,audi-a6,2009,35625
Audi,audi-a6,2010,37929
Audi,audi-a6,2011,43983
Audi,audi-a6,2012,52261
Audi,audi-a6,2013,33857
Audi,audi-a6,2014,29921
Audi,audi-a6,2015,25205
Audi,audi-a6,2016,32721
Audi,audi-a6,2017,21870
Audi,audi-a6,2018,28932
Audi,audi-a6,2019,21066
Audi,audi-a6,2020,10028
Audi,audi-a6,2021,5488
Audi,audi-a6,2022,5299
Audi,audi-a6,2023,841
Audi,audi-a6,2024,76
Audi,audi-a6allroad,2000,45753
Audi,audi-a6allroad,2001,31463
Audi,audi-a6allroad,2002,36068
Audi,audi-a6allroad,2003,48728
Audi,audi-a6allroad,2004,50706
Audi,audi-a6allroad,2005,42354
Audi,audi-a6allroad,2006,57979
Audi,audi-a6allroad,2007,75130
Audi,audi-a6allroad,2008,61536
Audi,audi-a6allroad,2009,35625
Audi,audi-a6allroad,2010,37929
Audi,audi-a6allroad,2011,43983
Audi,audi-a6allroad,2012,52261
Audi,audi-a6allroad,2013,33857
Audi,audi-a6allroad,2014,29921
Audi,audi-a6allroad,2015,25205
Audi,audi-a6allroad,2016,32721
Audi,audi-a6allroad,2017,21870
Audi,audi-a6allroad,2018,28932
Audi,audi-a6allroad,2019,21066
Audi,audi-a6allroad,2020,10028
Audi,audi-a6allroad,2021,5488
Audi,audi-a6allroad,2022,5299
Audi,audi-a6allroad,2023,841
Audi,audi-a6allroad,2024,76
Audi,audi-a7,2000,45793
Audi,audi-a7,2001,31528
Audi,audi-a7,2002,36105
Audi,audi-a7,2003,48802
Audi,audi-a7,2004,50731
Audi,audi-a7,2005,42384
Audi,audi-a7,2006,58012
Audi,audi-a7,2007,75156
Audi,audi-a7,2008,61603
Audi,audi-a7,2009,35661
Audi,audi-a7,2010,37943
Audi,audi-a7,2011,44016
Audi,audi-a7,2012,52310
Audi,audi-a7,2013,33882
Audi,audi-a7,2014,29970
Audi,audi-a7,2015,25217
Audi,audi-a7,2016,32733
Audi,audi-a7,2017,21884
Audi,audi-a7,2018,28948
Audi,audi-a7,2019,21056
Audi,audi-a7,2020,10029
Audi,audi-a7,2021,5488
Audi,audi-a7,2022,5298
Audi,audi-a7,2023,841
Audi,audi-a7,2024,76
Audi,audi-a8,2000,45793
Audi,audi-a8,2001,31528
Audi,audi-a8,2002,36105
Audi,audi-a8,2003,48802
Audi,audi-a8,2004,50731
Audi,audi-a8,2005,42384
Audi,audi-a8,2006,58012
Audi,audi-a8,2007,75156
Audi,audi-a8,2008,61603
Audi,audi-a8,2009,35661
Audi,audi-a8,2010,37943
Audi,audi-a8,2011,44016
Audi,audi-a8,2012,52310
Audi,audi-a8,2013,33882
Audi,audi-a8,2014,29970
Audi,audi-a8,2015,25217
Audi,audi-a8,2016,32733
Audi,audi-a8,2017,21884
Audi,audi-a8,2018,28948
Audi,audi-a8,2019,21056
Audi,audi-a8,2020,10029
Audi,audi-a8,2021,5488
Audi,audi-a8,2022,5298
Audi,audi-a8,2023,841
Audi,audi-a8,2024,76
Audi,audi-coupe,2000,45793
Audi,audi-coupe,2001,31528
Audi,audi-coupe,2002,36105
Audi,audi-coupe,2003,48802
Audi,audi-coupe,2004,50731
Audi,audi-coupe,2005,42384
Audi,audi-coupe,2006,58012
Audi,audi-coupe,2007,75156
Audi,audi-coupe,2008,61603
Audi,audi-coupe,2009,35661
Audi,audi-coupe,2010,37943
Audi,audi-coupe,2011,44016
Audi,audi-coupe,2012,52310
Audi,audi-coupe,2013,33882
Audi,audi-coupe,2014,29970
Audi,audi-coupe,2015,25217
Audi,audi-coupe,2016,32733
Audi,audi-coupe,2017,21884
Audi,audi-coupe,2018,28948
Audi,audi-coupe,2019,21056
Audi,audi-coupe,2020,10029
Audi,audi-coupe,2021,5488
Audi,audi-coupe,2022,5298
Audi,audi-coupe,2023,841
Audi,audi-coupe,2024,76
Audi,audi-etron,2000,45793
Audi,audi-etron,2001,31528
Audi,audi-etron,2002,36105
Audi,audi-etron,2003,48802
Audi,audi-etron,2004,50731
Audi,audi-etron,2005,42384
Audi,audi-etron,2006,58012
Audi,audi-etron,2007,75156
Audi,audi-etron,2008,61603
Audi,audi-etron,2009,35661
Audi,audi-etron,2010,37943
Audi,audi-etron,2011,44016
Audi,audi-etron,2012,52310
Audi,audi-etron,2013,33882
Audi,audi-etron,2014,29970
Audi,audi-etron,2015,25217
Audi,audi-etron,2016,32733
Audi,audi-etron,2017,21884
Audi,audi-etron,2018,28948
Audi,audi-etron,2019,21056
Audi,audi-etron,2020,10029
Audi,audi-etron,2021,5488
Audi,audi-etron,2022,5298
Audi,audi-etron,2023,841
Audi,audi-etron,2024,76
Audi,audi-etrongt,2000,45793
Audi,audi-etrongt,2001,31528
Audi,audi-etrongt,2002,36105
Audi,audi-etrongt,2003,48802
Audi,audi-etrongt,2004,50731
Audi,audi-etrongt,2005,42384
Audi,audi-etrongt,2006,58012
Audi,audi-etrongt,2007,75156
Audi,audi-etrongt,2008,61603
Audi,audi-etrongt,2009,35661
Audi,audi-etrongt,2010,37943
Audi,audi-etrongt,2011,44016
Audi,audi-etrongt,2012,52310
Audi,audi-etrongt,2013,33882
Audi,audi-etrongt,2014,29970
Audi,audi-etrongt,2015,25217
Audi,audi-etrongt,2016,32733
Audi,audi-etrongt,2017,21884
Audi,audi-etrongt,2018,28948
Audi,audi-etrongt,2019,21056
Audi,audi-etrongt,2020,10029
Audi,audi-etrongt,2021,5488
Audi,audi-etrongt,2022,5298
Audi,audi-etrongt,2023,841
Audi,audi-etrongt,2024,76
Audi,audi-etronsportback,2000,45793
Audi,audi-etronsportback,2001,31528
Audi,audi-etronsportback,2002,36105
Audi,audi-etronsportback,2003,48802
Audi,audi-etronsportback,2004,50731
Audi,audi-etronsportback,2005,42384
Audi,audi-etronsportback,2006,58012
Audi,audi-etronsportback,2007,75156
Audi,audi-etronsportback,2008,61603
Audi,audi-etronsportback,2009,35661
Audi,audi-etronsportback,2010,37943
Audi,audi-etronsportback,2011,44016
Audi,audi-etronsportback,2012,52310
Audi,audi-etronsportback,2013,33882
Audi,audi-etronsportback,2014,29970
Audi,audi-etronsportback,2015,25217
Audi,audi-etronsportback,2016,32733
Audi,audi-etronsportback,2017,21884
Audi,audi-etronsportback,2018,28948
Audi,audi-etronsportback,2019,21056
Audi,audi-etronsportback,2020,10029
Audi,audi-etronsportback,2021,5488
Audi,audi-etronsportback,2022,5298
Audi,audi-etronsportback,2023,841
Audi,audi-etronsportback,2024,76
Audi,audi-q2,2000,45793
Audi,audi-q2,2001,31528
Audi,audi-q2,2002,36105
Audi,audi-q2,2003,48802
Audi,audi-q2,2004,50731
Audi,audi-q2,2005,42384
Audi,audi-q2,2006,58012
Audi,audi-q2,2007,75156
Audi,audi-q2,2008,61603
Audi,audi-q2,2009,35661
Audi,audi-q2,2010,37943
Audi,audi-q2,2011,44016
Audi,audi-q2,2012,52310
Audi,audi-q2,2013,33882
Audi,audi-q2,2014,29970
Audi,audi-q2,2015,25217
Audi,audi-q2,2016,32733
Audi,audi-q2,2017,21884
Audi,audi-q2,2018,28948
Audi,audi-q2,2019,21056
Audi,audi-q2,2020,10029
Audi,audi-q2,2021,5488
Audi,audi-q2,2022,5298
Audi,audi-q2,2023,841
Audi,audi-q2,2024,76
Audi,audi-q3,2000,45793
Audi,audi-q3,2001,31528
Audi,audi-q3,2002,36105
Audi,audi-q3,2003,48802
Audi,audi-q3,2004,50731
Audi,audi-q3,2005,42528
Audi,audi-q3,2006,58012
Audi,audi-q3,2007,75243
Audi,audi-q3,2008,61603
Audi,audi-q3,2009,35661
Audi,audi-q3,2010,37943
Audi,audi-q3,2011,44016
Audi,audi-q3,2012,52310
Audi,audi-q3,2013,33882
Audi,audi-q3,2014,29970
Audi,audi-q3,2015,25217
Audi,audi-q3,2016,32733
Audi,audi-q3,2017,21884
Audi,audi-q3,2018,28948
Audi,audi-q3,2019,21056
Audi,audi-q3,2020,10029
Audi,audi-q3,2021,5488
Audi,audi-q3,2022,5298
Audi,audi-q3,2023,841
Audi,audi-q3,2024,76
Audi,audi-q4etron,2000,45952
Audi,audi-q4etron,2001,31653
Audi,audi-q4etron,2002,36189
Audi,audi-q4etron,2003,49114
Audi,audi-q4etron,2004,50852
Audi,audi-q4etron,2005,42528
Audi,audi-q4etron,2006,58055
Audi,audi-q4etron,2007,75243
Audi,audi-q4etron,2008,61618
Audi,audi-q4etron,2009,35839
Audi,audi-q4etron,2010,38046
Audi,audi-q4etron,2011,44053
Audi,audi-q4etron,2012,52345
Audi,audi-q4etron,2013,33913
Audi,audi-q4etron,2014,29975
Audi,audi-q4etron,2015,25225
Audi,audi-q4etron,2016,32744
Audi,audi-q4etron,2017,21898
Audi,audi-q4etron,2018,28951
Audi,audi-q4etron,2019,21055
Audi,audi-q4etron,2020,10030
Audi,audi-q4etron,2021,5490
Audi,audi-q4etron,2022,5298
Audi,audi-q4etron,2023,841
Audi,audi-q4etron,2024,76
Audi,audi-q5,2000,45952
Audi,audi-q5,2001,31653
Audi,audi-q5,2002,36189
Audi,audi-q5,2003,49114
Audi,audi-q5,2004,50852
Audi,audi-q5,2005,42528
Audi,audi-q5,2006,58055
Audi,audi-q5,2007,75243
Audi,audi-q5,2008,61618
Audi,audi-q5,2009,35839
Audi,audi-q5,2010,38046
Audi,audi-q5,2011,44053
Audi,audi-q5,2012,52345
Audi,audi-q5,2014,29975
Audi,audi-q5,2015,25225
Audi,audi-q5,2016,32744
Audi,audi-q5,2018,28951
Audi,audi-q5,2019,21055
Audi,audi-q5,2020,10030
Audi,audi-q5,2021,5490
Audi,audi-q5,2022,5298
Audi,audi-q5,2023,841
Audi,audi-q5,2024,76
Audi,audi-q7,2000,45952
Audi,audi-q7,2001,31653
Audi,audi-q7,2002,36189
Audi,audi-q7,2003,49114
Audi,audi-q7,2004,50852
Audi,audi-q7,2005,42528
Audi,audi-q7,2006,58055
Audi,audi-q7,2007,75243
Audi,audi-q7,2008,61618
Audi,audi-q7,2009,35839
Audi,audi-q7,2010,38046
Audi,audi-q7,2011,44053
Audi,audi-q7,2012,52345
Audi,audi-q7,2013,33913
Audi,audi-q7,2014,29975
Audi,audi-q7,2015,25225
Audi,audi-q7,2016,32744
Audi,audi-q7,2017,21898
Audi,audi-q7,2018,28951
Audi,audi-q7,2019,21055
Audi,audi-q7,2020,10030
Audi,audi-q7,2021,5490
Audi,audi-q7,2022,5298
Audi,audi-q7,2023,841
Audi,audi-q7,2024,76
Audi,audi-q8,2000,45952
Audi,audi-q8,2001,31653
Audi,audi-q8,2002,36189
Audi,audi-q8,2003,49114
Audi,audi-q8,2004,50852
Audi,audi-q8,2005,42528
Audi,audi-q8,2006,58055
Audi,audi-q8,2007,75243
Audi,audi-q8,2008,61618
Audi,audi-q8,2009,35839
Audi,audi-q8,2010,38046
Audi,audi-q8,2011,44053
